Index,Churn_Prob_Before,Churn_Prob_After,Delta,Improvement Suggestion
43.0,0.0112,0.0112,0.0,No change required
44.0,0.0009,0.0009,0.0,No change required
45.0,0.003,0.003,0.0,No change required
46.0,0.0257,0.0257,0.0,No change required
47.0,0.9986,0.002300000051036477,0.9963,Total intl calls: 2.00 → 16.00
48.0,0.0161,0.0161,0.0,No change required
49.0,0.1394,0.1394,0.0,No change required
50.0,0.006,0.006,0.0,No change required
51.0,0.0009,0.0009,0.0,No change required
52.0,0.0032,0.0032,0.0,No change required
53.0,0.0055,0.0055,0.0,No change required
54.0,0.0255,0.0255,0.0,No change required
55.0,0.0011,0.0011,0.0,No change required
56.0,1.0,0.0957999974489212,0.9042,"Voice mail plan: 0.00 → 1.00, Total intl minutes: 5.30 → 15.80"
57.0,0.0023,0.0023,0.0,No change required
58.0,0.9972,0.023099999874830246,0.9741,"Total day minutes: 172.70 → 296.40, Total night minutes: 216.10 → 110.20"
59.0,0.0118,0.0118,0.0,No change required
60.0,0.9968,0.04859999939799309,0.9482,"Voice mail plan: 0.00 → 1.00, Total night minutes: 207.20 → 204.10"
61.0,0.0169,0.0169,0.0,No change required
62.0,0.9719,0.10270000249147415,0.8693,Total day minutes: 296.40 → 162.60
63.0,0.0039,0.0039,0.0,No change required
64.0,0.676,0.031300000846385956,0.6446,"Total eve calls: 94.00 → 66.00, Customer service calls: 2.00 → 7.00"
65.0,0.9994,0.022199999541044235,0.9772,"International plan: 1.00 → 0.00, Total eve calls: 85.00 → 87.00"
66.0,0.1276,0.1276,0.0,No change required
67.0,0.0114,0.0114,0.0,No change required
68.0,0.0087,0.0087,0.0,No change required
69.0,0.0411,0.0411,0.0,No change required
70.0,0.0012,0.0012,0.0,No change required
71.0,0.0007,0.0007,0.0,No change required
72.0,0.0063,0.0063,0.0,No change required
73.0,0.0084,0.0084,0.0,No change required
74.0,0.9769,0.12600000202655792,0.8509,Total night minutes: 234.20 → 69.30
75.0,0.0004,0.0004,0.0,No change required
76.0,0.0017,0.0017,0.0,No change required
77.0,0.1524,0.1524,0.0,No change required
78.0,0.1081,0.1081,0.0,No change required
79.0,0.0002,0.0002,0.0,No change required
80.0,0.002,0.002,0.0,No change required
81.0,0.0021,0.0021,0.0,No change required
82.0,0.0006,0.0006,0.0,No change required
83.0,0.0023,0.0023,0.0,No change required
84.0,0.0015,0.0015,0.0,No change required
85.0,0.0003,0.0003,0.0,No change required
86.0,0.0118,0.0118,0.0,No change required
87.0,0.0073,0.0073,0.0,No change required
88.0,0.0134,0.0134,0.0,No change required
89.0,0.0,0.0,0.0,No change required
90.0,0.003,0.003,0.0,No change required
91.0,0.0294,0.0294,0.0,No change required
92.0,0.0008,0.0008,0.0,No change required
93.0,0.0016,0.0016,0.0,No change required
94.0,0.0365,0.0365,0.0,No change required
95.0,0.1082,0.1082,0.0,No change required
96.0,0.9984,0.00139999995008111,0.997,Total intl minutes: 14.30 → 6.50
97.0,0.0023,0.0023,0.0,No change required
98.0,0.7913,0.07760000228881836,0.7137,"Total eve minutes: 105.60 → 344.90, Total eve charge: 8.98 → 21.06"
99.0,0.0014,0.0014,0.0,No change required
100.0,0.0053,0.0053,0.0,No change required
101.0,0.0023,0.0023,0.0,No change required
102.0,0.0007,0.0007,0.0,No change required
103.0,0.0001,0.0001,0.0,No change required
104.0,0.7498,0.27090001106262207,0.4789,"State: 18.00 → 9.00, Customer service calls: 4.00 → 2.00"
105.0,0.0051,0.0051,0.0,No change required
106.0,0.0003,0.0003,0.0,No change required
107.0,0.0009,0.0009,0.0,No change required
108.0,0.0005,0.0005,0.0,No change required
109.0,0.9959,0.12809999287128448,0.8678,"Voice mail plan: 0.00 → 1.00, Total night charge: 7.69 → 3.82"
110.0,0.9414,0.0010000000474974513,0.9404,Total day minutes: 136.80 → 259.00
111.0,0.0012,0.0012,0.0,No change required
112.0,0.0093,0.0093,0.0,No change required
113.0,0.0081,0.0081,0.0,No change required
114.0,0.9729,0.012500000186264515,0.9605,Total eve minutes: 276.50 → 139.90
115.0,0.7978,0.003800000064074993,0.794,Total day minutes: 89.70 → 205.80
116.0,0.0042,0.0042,0.0,No change required
117.0,0.0085,0.0085,0.0,No change required
118.0,0.0012,0.0012,0.0,No change required
119.0,0.0336,0.0336,0.0,No change required
120.0,0.0,0.0,0.0,No change required
121.0,0.0018,0.0018,0.0,No change required
122.0,0.0023,0.0023,0.0,No change required
123.0,0.9985,9.999999747378752e-05,0.9984,Total intl minutes: 13.20 → 3.00
124.0,0.0188,0.0188,0.0,No change required
125.0,0.0009,0.0009,0.0,No change required
126.0,0.0758,0.0758,0.0,No change required
127.0,0.0207,0.0207,0.0,No change required
128.0,0.0009,0.0009,0.0,No change required
129.0,0.0036,0.0036,0.0,No change required
130.0,0.0079,0.0079,0.0,No change required
131.0,0.1123,0.1123,0.0,No change required
132.0,0.0247,0.0247,0.0,No change required
133.0,0.0022,0.0022,0.0,No change required
134.0,0.996,9.999999747378752e-05,0.9959,Total day minutes: 264.70 → 66.10
135.0,0.0042,0.0042,0.0,No change required
136.0,0.0007,0.0007,0.0,No change required
137.0,0.0272,0.0272,0.0,No change required
138.0,0.0014,0.0014,0.0,No change required
139.0,0.0014,0.0014,0.0,No change required
140.0,0.0074,0.0074,0.0,No change required
141.0,0.0018,0.0018,0.0,No change required
142.0,0.0008,0.0008,0.0,No change required
143.0,0.0007,0.0007,0.0,No change required
144.0,0.0,0.0,0.0,No change required
145.0,0.0021,0.0021,0.0,No change required
146.0,0.165,0.165,0.0,No change required
147.0,0.0002,0.0002,0.0,No change required
148.0,0.0908,0.0908,0.0,No change required
149.0,0.0153,0.0153,0.0,No change required
150.0,0.0013,0.0013,0.0,No change required
151.0,0.0019,0.0019,0.0,No change required
152.0,0.0008,0.0008,0.0,No change required
153.0,0.0202,0.0202,0.0,No change required
154.0,0.9992,0.0020000000949949026,0.9972,"Number vmail messages: 0.00 → 40.00, Total intl minutes: 15.30 → 6.60"
155.0,0.9997,0.42340001463890076,0.5763,"Total day minutes: 87.20 → 332.70, Total night calls: 80.00 → 116.00"
156.0,0.0085,0.0085,0.0,No change required
157.0,0.0055,0.0055,0.0,No change required
158.0,0.0135,0.0135,0.0,No change required
159.0,0.0075,0.0075,0.0,No change required
160.0,0.0026,0.0026,0.0,No change required
161.0,0.0081,0.0081,0.0,No change required
162.0,0.002,0.002,0.0,No change required
163.0,0.9989,0.014999999664723873,0.9838,"Total eve minutes: 166.90 → 337.20, Customer service calls: 5.00 → 3.00"
164.0,0.0275,0.0275,0.0,No change required
165.0,0.0021,0.0021,0.0,No change required
166.0,0.0028,0.0028,0.0,No change required
167.0,0.0318,0.0318,0.0,No change required
168.0,0.0284,0.0284,0.0,No change required
169.0,0.0016,0.0016,0.0,No change required
170.0,0.9951,0.003000000026077032,0.9921,"International plan: 1.00 → 0.00, Total night minutes: 198.50 → 319.60"
171.0,0.0464,0.0464,0.0,No change required
172.0,0.003,0.003,0.0,No change required
173.0,0.0499,0.0499,0.0,No change required
174.0,0.0004,0.0004,0.0,No change required
175.0,0.9958,0.39160001277923584,0.6042,"Total day minutes: 322.50 → 255.30, Total eve minutes: 204.60 → 226.00"
176.0,0.0028,0.0028,0.0,No change required
177.0,0.0004,0.0004,0.0,No change required
178.0,0.0046,0.0046,0.0,No change required
179.0,0.0005,0.0005,0.0,No change required
180.0,0.0001,0.0001,0.0,No change required
181.0,0.0005,0.0005,0.0,No change required
182.0,0.0175,0.0175,0.0,No change required
183.0,0.0137,0.0137,0.0,No change required
184.0,0.003,0.003,0.0,No change required
185.0,0.0028,0.0028,0.0,No change required
186.0,0.0309,0.0309,0.0,No change required
187.0,0.0801,0.0801,0.0,No change required
188.0,0.0409,0.0409,0.0,No change required
189.0,0.0024,0.0024,0.0,No change required
190.0,0.0491,0.0491,0.0,No change required
191.0,0.0076,0.0076,0.0,No change required
192.0,0.0114,0.0114,0.0,No change required
193.0,0.0001,0.0001,0.0,No change required
194.0,0.017,0.017,0.0,No change required
195.0,0.0115,0.0115,0.0,No change required
196.0,0.002,0.002,0.0,No change required
197.0,0.0014,0.0014,0.0,No change required
198.0,0.0492,0.0492,0.0,No change required
199.0,0.0112,0.0112,0.0,No change required
200.0,0.0024,0.0024,0.0,No change required
201.0,0.0002,0.0002,0.0,No change required
202.0,0.0014,0.0014,0.0,No change required
203.0,0.9975,0.11900000274181366,0.8785,"Voice mail plan: 0.00 → 1.00, Total intl minutes: 10.40 → 9.80"
204.0,0.0002,0.0002,0.0,No change required
205.0,0.0096,0.0096,0.0,No change required
206.0,0.0011,0.0011,0.0,No change required
207.0,0.0005,0.0005,0.0,No change required
208.0,0.0008,0.0008,0.0,No change required
209.0,0.1986,0.1986,0.0,No change required
210.0,0.0002,0.0002,0.0,No change required
211.0,0.0001,0.0001,0.0,No change required
212.0,0.0001,0.0001,0.0,No change required
213.0,0.1838,0.1838,0.0,No change required
214.0,0.0006,0.0006,0.0,No change required
215.0,0.0008,0.0008,0.0,No change required
216.0,0.0017,0.0017,0.0,No change required
217.0,0.0477,0.0477,0.0,No change required
218.0,0.9561,0.2784999907016754,0.6776,Total eve minutes: 158.80 → 320.70
219.0,0.001,0.001,0.0,No change required
220.0,0.0005,0.0005,0.0,No change required
221.0,0.0183,0.0183,0.0,No change required
222.0,0.0001,0.0001,0.0,No change required
223.0,0.0069,0.0069,0.0,No change required
224.0,0.0001,0.0001,0.0,No change required
225.0,0.9918,0.0015999999595806003,0.9902,Total eve minutes: 112.30 → 330.20
226.0,0.9957,0.4941999912261963,0.5014,"Voice mail plan: 0.00 → 1.00, Total day calls: 113.00 → 53.00"
227.0,0.0039,0.0039,0.0,No change required
228.0,0.0074,0.0074,0.0,No change required
229.0,0.0029,0.0029,0.0,No change required
230.0,0.0086,0.0086,0.0,No change required
231.0,0.0001,0.0001,0.0,No change required
232.0,0.0012,0.0012,0.0,No change required
233.0,0.0022,0.0022,0.0,No change required
234.0,0.0013,0.0013,0.0,No change required
235.0,0.0014,0.0014,0.0,No change required
236.0,0.0029,0.0029,0.0,No change required
237.0,0.0004,0.0004,0.0,No change required
238.0,0.9982,0.009700000286102295,0.9885,Customer service calls: 5.00 → 0.00
239.0,0.0028,0.0028,0.0,No change required
240.0,0.0007,0.0007,0.0,No change required
241.0,0.0049,0.0049,0.0,No change required
242.0,0.0063,0.0063,0.0,No change required
243.0,0.0053,0.0053,0.0,No change required
244.0,0.002,0.002,0.0,No change required
245.0,0.0001,0.0001,0.0,No change required
246.0,0.0008,0.0008,0.0,No change required
247.0,0.007,0.007,0.0,No change required
248.0,0.0133,0.0133,0.0,No change required
249.0,0.0006,0.0006,0.0,No change required
250.0,0.1335,0.1335,0.0,No change required
251.0,0.0003,0.0003,0.0,No change required
252.0,0.9544,0.2134999930858612,0.741,Total eve minutes: 209.50 → 249.40
253.0,0.0812,0.0812,0.0,No change required
254.0,0.0008,0.0008,0.0,No change required
255.0,0.0009,0.0009,0.0,No change required
256.0,0.0015,0.0015,0.0,No change required
257.0,0.0025,0.0025,0.0,No change required
258.0,0.0004,0.0004,0.0,No change required
259.0,0.0366,0.0366,0.0,No change required
260.0,0.0023,0.0023,0.0,No change required
261.0,0.0043,0.0043,0.0,No change required
262.0,0.0007,0.0007,0.0,No change required
263.0,0.0084,0.0084,0.0,No change required
264.0,0.0084,0.0084,0.0,No change required
265.0,0.0025,0.0025,0.0,No change required
266.0,0.0027,0.0027,0.0,No change required
267.0,0.0227,0.0227,0.0,No change required
268.0,0.0008,0.0008,0.0,No change required
269.0,0.0608,0.0608,0.0,No change required
270.0,0.0015,0.0015,0.0,No change required
271.0,0.0003,0.0003,0.0,No change required
272.0,0.0005,0.0005,0.0,No change required
273.0,0.0002,0.0002,0.0,No change required
274.0,0.8551,0.002899999963119626,0.8522,"Total eve minutes: 119.30 → 293.40, Total night minutes: 165.10 → 356.60"
275.0,0.0021,0.0021,0.0,No change required
276.0,0.8233,0.030700000002980232,0.7926,"Total eve minutes: 336.00 → 244.00, Total eve calls: 104.00 → 80.00"
277.0,0.0013,0.0013,0.0,No change required
278.0,0.0606,0.0606,0.0,No change required
279.0,0.9984,0.0026000000070780516,0.9958,"Total day minutes: 266.30 → 144.90, Total night minutes: 205.00 → 30.00"
280.0,0.0007,0.0007,0.0,No change required
281.0,0.0002,0.0002,0.0,No change required
282.0,0.0005,0.0005,0.0,No change required
283.0,0.0033,0.0033,0.0,No change required
284.0,0.0001,0.0001,0.0,No change required
285.0,0.0008,0.0008,0.0,No change required
286.0,0.0937,0.0937,0.0,No change required
287.0,0.8384,0.007300000172108412,0.831,"State: 19.00 → 16.00, Total night minutes: 242.80 → 33.20"
288.0,0.0073,0.0073,0.0,No change required
289.0,0.8107,0.39340001344680786,0.4173,"Total day minutes: 227.20 → 72.20, Customer service calls: 0.00 → 1.00"
290.0,0.0003,0.0003,0.0,No change required
291.0,0.063,0.063,0.0,No change required
292.0,0.0008,0.0008,0.0,No change required
293.0,0.0156,0.0156,0.0,No change required
294.0,0.0034,0.0034,0.0,No change required
295.0,0.0278,0.0278,0.0,No change required
296.0,0.0004,0.0004,0.0,No change required
297.0,0.0046,0.0046,0.0,No change required
298.0,0.9923,0.0020000000949949026,0.9903,"Number vmail messages: 0.00 → 46.00, Customer service calls: 4.00 → 0.00"
299.0,0.9055,0.004399999976158142,0.901,"State: 25.00 → 47.00, Total day minutes: 82.30 → 222.40"
300.0,0.0201,0.0201,0.0,No change required
301.0,0.0006,0.0006,0.0,No change required
302.0,0.0064,0.0064,0.0,No change required
303.0,0.0079,0.0079,0.0,No change required
304.0,0.0076,0.0076,0.0,No change required
305.0,0.0292,0.0292,0.0,No change required
306.0,0.0018,0.0018,0.0,No change required
307.0,0.0027,0.0027,0.0,No change required
308.0,0.0012,0.0012,0.0,No change required
309.0,0.0001,0.0001,0.0,No change required
310.0,0.0101,0.0101,0.0,No change required
311.0,0.0016,0.0016,0.0,No change required
312.0,0.0014,0.0014,0.0,No change required
313.0,0.0094,0.0094,0.0,No change required
314.0,0.0188,0.0188,0.0,No change required
315.0,0.0069,0.0069,0.0,No change required
316.0,0.0001,0.0001,0.0,No change required
317.0,0.001,0.001,0.0,No change required
318.0,0.0017,0.0017,0.0,No change required
319.0,0.0074,0.0074,0.0,No change required
320.0,0.0,0.0,0.0,No change required
321.0,0.0257,0.0257,0.0,No change required
322.0,0.0009,0.0009,0.0,No change required
323.0,0.0108,0.0108,0.0,No change required
324.0,0.0025,0.0025,0.0,No change required
325.0,0.026,0.026,0.0,No change required
326.0,0.0011,0.0011,0.0,No change required
327.0,0.9999,0.0017999999690800905,0.9982,"Total day minutes: 273.90 → 195.20, Total intl charge: 2.94 → 0.85"
328.0,0.002,0.002,0.0,No change required
329.0,0.0012,0.0012,0.0,No change required
330.0,0.0088,0.0088,0.0,No change required
331.0,0.0141,0.0141,0.0,No change required
332.0,0.0001,0.0001,0.0,No change required
333.0,0.005,0.005,0.0,No change required
334.0,0.0004,0.0004,0.0,No change required
335.0,0.1324,0.1324,0.0,No change required
336.0,0.0011,0.0011,0.0,No change required
337.0,0.9383,0.04610000178217888,0.8922,Total eve minutes: 198.90 → 321.10
338.0,0.0502,0.0502,0.0,No change required
339.0,0.0109,0.0109,0.0,No change required
340.0,0.3712,0.3712,0.0,No change required
341.0,0.4979,0.4979,0.0,No change required
342.0,0.9992,0.003599999938160181,0.9957,"Total night minutes: 155.70 → 188.90, Total intl calls: 2.00 → 12.00"
343.0,0.0011,0.0011,0.0,No change required
344.0,0.0001,0.0001,0.0,No change required
345.0,0.0032,0.0032,0.0,No change required
346.0,0.0012,0.0012,0.0,No change required
347.0,0.0004,0.0004,0.0,No change required
348.0,0.0125,0.0125,0.0,No change required
349.0,0.9961,0.005100000184029341,0.9911,Total eve minutes: 233.70 → 126.10
350.0,0.4311,0.4311,0.0,No change required
351.0,0.9999,0.0052999998442828655,0.9946,Total day minutes: 293.70 → 168.20
352.0,0.0076,0.0076,0.0,No change required
353.0,0.021,0.021,0.0,No change required
354.0,0.0301,0.0301,0.0,No change required
355.0,0.995,0.001500000013038516,0.9936,"State: 24.00 → 4.00, Total day minutes: 129.70 → 221.90"
356.0,0.0934,0.0934,0.0,No change required
357.0,0.0002,0.0002,0.0,No change required
358.0,0.0841,0.0841,0.0,No change required
359.0,0.2009,0.2009,0.0,No change required
360.0,0.3574,0.3574,0.0,No change required
361.0,0.0018,0.0018,0.0,No change required
362.0,0.9983,0.000699999975040555,0.9977,"Total day charge: 45.68 → 29.48, Total eve minutes: 301.00 → 63.10"
363.0,0.1931,0.1931,0.0,No change required
364.0,0.0065,0.0065,0.0,No change required
365.0,0.0007,0.0007,0.0,No change required
366.0,0.0064,0.0064,0.0,No change required
367.0,0.0108,0.0108,0.0,No change required
368.0,0.0017,0.0017,0.0,No change required
369.0,0.0658,0.0658,0.0,No change required
370.0,0.0595,0.0595,0.0,No change required
371.0,0.0002,0.0002,0.0,No change required
372.0,0.0228,0.0228,0.0,No change required
373.0,0.0033,0.0033,0.0,No change required
374.0,0.0018,0.0018,0.0,No change required
375.0,0.0861,0.0861,0.0,No change required
376.0,0.0009,0.0009,0.0,No change required
377.0,0.0279,0.0279,0.0,No change required
378.0,0.0015,0.0015,0.0,No change required
379.0,0.0047,0.0047,0.0,No change required
380.0,0.0003,0.0003,0.0,No change required
381.0,0.0047,0.0047,0.0,No change required
382.0,0.0002,0.0002,0.0,No change required
383.0,0.4651,0.4651,0.0,No change required
384.0,0.0009,0.0009,0.0,No change required
385.0,0.9994,0.030700000002980232,0.9686,"Total day minutes: 276.10 → 180.60, Customer service calls: 0.00 → 1.00"
386.0,0.0009,0.0009,0.0,No change required
387.0,0.0107,0.0107,0.0,No change required
388.0,0.0003,0.0003,0.0,No change required
389.0,0.0008,0.0008,0.0,No change required
390.0,0.0006,0.0006,0.0,No change required
391.0,0.004,0.004,0.0,No change required
392.0,0.0001,0.0001,0.0,No change required
393.0,0.0324,0.0324,0.0,No change required
394.0,0.0347,0.0347,0.0,No change required
395.0,0.0017,0.0017,0.0,No change required
396.0,0.0123,0.0123,0.0,No change required
397.0,0.0313,0.0313,0.0,No change required
398.0,0.9979,0.0012000000569969416,0.9968,"Voice mail plan: 0.00 → 1.00, Customer service calls: 6.00 → 0.00"
399.0,0.0005,0.0005,0.0,No change required
400.0,0.0043,0.0043,0.0,No change required
401.0,0.9999,0.0012000000569969416,0.9987,"Total day minutes: 281.30 → 195.40, Total eve minutes: 301.50 → 119.10"
402.0,0.0012,0.0012,0.0,No change required
403.0,0.5171,0.00419999985024333,0.5129,Total eve minutes: 278.50 → 186.70
404.0,0.1033,0.1033,0.0,No change required
405.0,0.0017,0.0017,0.0,No change required
406.0,0.0018,0.0018,0.0,No change required
407.0,0.0019,0.0019,0.0,No change required
408.0,0.0039,0.0039,0.0,No change required
409.0,0.9781,0.0019000000320374966,0.9763,Total eve minutes: 161.50 → 340.20
410.0,0.0093,0.0093,0.0,No change required
411.0,0.0004,0.0004,0.0,No change required
412.0,0.0004,0.0004,0.0,No change required
413.0,0.0041,0.0041,0.0,No change required
414.0,0.001,0.001,0.0,No change required
415.0,0.0009,0.0009,0.0,No change required
416.0,0.0004,0.0004,0.0,No change required
417.0,0.0007,0.0007,0.0,No change required
418.0,0.6254,0.0008999999845400453,0.6245,"Total day minutes: 269.60 → 92.90, Total eve calls: 91.00 → 141.00"
419.0,0.0068,0.0068,0.0,No change required
420.0,0.9958,0.0006000000284984708,0.9951,"Total day minutes: 269.20 → 84.00, Total eve calls: 144.00 → 85.00"
421.0,0.0016,0.0016,0.0,No change required
422.0,0.018,0.018,0.0,No change required
423.0,0.0217,0.0217,0.0,No change required
424.0,0.8292,9.999999747378752e-05,0.829,Total day minutes: 249.80 → 39.90
425.0,0.0044,0.0044,0.0,No change required
426.0,0.0001,0.0001,0.0,No change required
427.0,0.0255,0.0255,0.0,No change required
428.0,0.0016,0.0016,0.0,No change required
429.0,0.0054,0.0054,0.0,No change required
430.0,0.8424,0.048900000751018524,0.7934,"Voice mail plan: 0.00 → 1.00, Total intl minutes: 10.90 → 10.70"
431.0,0.0025,0.0025,0.0,No change required
432.0,0.0009,0.0009,0.0,No change required
433.0,0.1177,0.1177,0.0,No change required
434.0,0.0026,0.0026,0.0,No change required
435.0,0.0003,0.0003,0.0,No change required
436.0,0.0006,0.0006,0.0,No change required
437.0,0.8386,0.4634000062942505,0.3752,"State: 29.00 → 1.00, Total eve calls: 131.00 → 57.00"
438.0,0.013,0.013,0.0,No change required
439.0,0.0241,0.0241,0.0,No change required
440.0,0.0008,0.0008,0.0,No change required
441.0,0.0014,0.0014,0.0,No change required
442.0,0.9997,0.009100000374019146,0.9906,"Total day minutes: 313.20 → 209.40, Total day calls: 103.00 → 150.00"
443.0,0.0011,0.0011,0.0,No change required
444.0,0.1995,0.1995,0.0,No change required
445.0,0.0073,0.0073,0.0,No change required
446.0,0.0001,0.0001,0.0,No change required
447.0,0.0003,0.0003,0.0,No change required
448.0,0.0067,0.0067,0.0,No change required
449.0,0.0022,0.0022,0.0,No change required
450.0,0.0083,0.0083,0.0,No change required
451.0,0.0087,0.0087,0.0,No change required
452.0,0.0008,0.0008,0.0,No change required
453.0,0.0003,0.0003,0.0,No change required
454.0,0.0094,0.0094,0.0,No change required
455.0,0.9977,0.00039999998989515007,0.9973,"Total eve calls: 96.00 → 101.00, Total intl minutes: 13.50 → 5.20"
456.0,0.0021,0.0021,0.0,No change required
457.0,0.9967,0.003100000089034438,0.9935,"Total day minutes: 273.20 → 58.10, Total night minutes: 203.70 → 110.70"
458.0,0.0013,0.0013,0.0,No change required
459.0,0.002,0.002,0.0,No change required
460.0,0.4043,0.4043,0.0,No change required
461.0,1.0,0.13429999351501465,0.8657,"Voice mail plan: 0.00 → 1.00, Total intl calls: 1.00 → 11.00"
462.0,0.0108,0.0108,0.0,No change required
463.0,0.7037,0.22660000622272491,0.4771,Total intl calls: 4.00 → 9.00
464.0,0.8938,0.00570000009611249,0.8881,"Total night calls: 94.00 → 72.00, Customer service calls: 4.00 → 3.00"
465.0,0.0013,0.0013,0.0,No change required
466.0,0.0009,0.0009,0.0,No change required
467.0,0.0001,0.0001,0.0,No change required
468.0,0.4515,0.4515,0.0,No change required
469.0,0.0102,0.0102,0.0,No change required
470.0,0.0008,0.0008,0.0,No change required
471.0,0.0038,0.0038,0.0,No change required
472.0,0.022,0.022,0.0,No change required
473.0,0.0016,0.0016,0.0,No change required
474.0,0.011,0.011,0.0,No change required
475.0,0.0012,0.0012,0.0,No change required
476.0,0.001,0.001,0.0,No change required
477.0,0.9908,0.0008999999845400453,0.9899,Total intl calls: 2.00 → 5.00
478.0,0.0233,0.0233,0.0,No change required
479.0,0.0021,0.0021,0.0,No change required
480.0,0.001,0.001,0.0,No change required
481.0,0.0648,0.0648,0.0,No change required
482.0,0.001,0.001,0.0,No change required
483.0,0.6885,0.00559999980032444,0.6829,Total day minutes: 167.80 → 249.50
484.0,0.0001,0.0001,0.0,No change required
485.0,0.0067,0.0067,0.0,No change required
486.0,0.0005,0.0005,0.0,No change required
487.0,0.0004,0.0004,0.0,No change required
488.0,0.0039,0.0039,0.0,No change required
489.0,0.0016,0.0016,0.0,No change required
490.0,0.0007,0.0007,0.0,No change required
491.0,0.0019,0.0019,0.0,No change required
492.0,0.0642,0.0642,0.0,No change required
493.0,0.0567,0.0567,0.0,No change required
494.0,0.0005,0.0005,0.0,No change required
495.0,0.9991,0.009100000374019146,0.99,"Number vmail messages: 28.00 → 47.00, Total intl calls: 2.00 → 13.00"
496.0,0.0003,0.0003,0.0,No change required
497.0,0.0035,0.0035,0.0,No change required
498.0,0.0953,0.0953,0.0,No change required
499.0,0.067,0.067,0.0,No change required
500.0,0.0666,0.0666,0.0,No change required
501.0,0.0161,0.0161,0.0,No change required
502.0,0.003,0.003,0.0,No change required
503.0,0.06,0.06,0.0,No change required
504.0,0.0396,0.0396,0.0,No change required
505.0,0.9556,0.39259999990463257,0.563,"State: 28.00 → 1.00, Total eve calls: 136.00 → 42.00"
506.0,0.0109,0.0109,0.0,No change required
507.0,0.0388,0.0388,0.0,No change required
508.0,0.001,0.001,0.0,No change required
509.0,0.5305,0.37770000100135803,0.1527,"Voice mail plan: 1.00 → 0.00, Total day minutes: 243.40 → 77.20"
510.0,0.0314,0.0314,0.0,No change required
511.0,0.0041,0.0041,0.0,No change required
512.0,0.0031,0.0031,0.0,No change required
513.0,0.0021,0.0021,0.0,No change required
514.0,0.061,0.061,0.0,No change required
515.0,0.0465,0.0465,0.0,No change required
516.0,0.0006,0.0006,0.0,No change required
517.0,0.0001,0.0001,0.0,No change required
518.0,0.0008,0.0008,0.0,No change required
519.0,0.2667,0.2667,0.0,No change required
520.0,0.0701,0.0701,0.0,No change required
521.0,0.0021,0.0021,0.0,No change required
522.0,0.0292,0.0292,0.0,No change required
523.0,0.0003,0.0003,0.0,No change required
524.0,0.9651,0.002199999988079071,0.9629,Total day minutes: 240.70 → 92.20
525.0,0.9467,0.08240000158548355,0.8643,Total night minutes: 218.00 → 101.20
526.0,0.0063,0.0063,0.0,No change required
527.0,0.0073,0.0073,0.0,No change required
528.0,0.0075,0.0075,0.0,No change required
529.0,0.9941,9.999999747378752e-05,0.994,Total day minutes: 279.10 → 29.50
530.0,0.0208,0.0208,0.0,No change required
531.0,0.0444,0.0444,0.0,No change required
532.0,0.0001,0.0001,0.0,No change required
533.0,0.0011,0.0011,0.0,No change required
534.0,0.0007,0.0007,0.0,No change required
535.0,0.0015,0.0015,0.0,No change required
